ExptName,SeriesEstimNum,SeriesName,SkipPhaseCorrect,PhaseNAvgFrames,DoTruncate,FOVSize,StimEvery,NStimsInSer,Current,FrameTimeMs,TrainTimeMs,IsLeicaData,LeicaOrFastscan,DataPathOverride,RedFromSeries,RedImageOverride
Cat070118,1,,,,,,20,1,10,815,815,1,,,,
Cat070118,2,,,,,,20,1,10,815,815,1,,,,
Cat070118,3,,,,,,20,1,12,815,815,1,,,,
Cat070118,4,,,,,,20,1,14,815,815,1,,,,
Cat070118,5,,,,,,20,1,16,815,815,1,,,,
Cat070118,6,,,,,,20,1,10,815,815,1,,,,
Cat070118,7,,,,,,20,1,10,815,815,1,,,,
Cat070118,8,,,,,,20,1,10,815,815,1,,,,
Cat070118,9,,,,,,20,1,10,815,815,1,,,,
Cat070118,10,,,,,,20,1,10,815,815,1,,,,
Cat070118,11,,,,,,20,1,20,815,815,1,,,,
Cat070118,12,,,,,,20,1,35,815,815,1,,,,
Cat070118,13,,,,,,20,1,50,815,815,1,,,,
Cat070118,14,,,,,,20,1,50,247,815,1,,,,
Cat070118,15,,,,,,20,1,50,247,247,1,,,,
Cat070118,16,,,,,,50,1,50,247,815,1,,,,
Cat070118,17,,,,,,50,1,75,247,815,1,,,,
Cat070118,18,,,,,,50,1,50,247,815,1,,,,
Cat070118,19,,,,,,50,1,55,247,815,1,,,,
Cat070118,20,,,,,,50,1,60,247,815,1,,,,
Cat070118,21,,,,,,50,1,65,247,815,1,,,,
Cat070118,22,,,,,,50,1,70,247,815,1,,,,
Cat070118,23,,,,,,50,1,75,247,815,1,,,,
Cat070118,24,,,,,,50,1,75,247,100,1,,,,
Cat070118,25,,,,,,50,1,75,247,815,1,,,,
Cat070118,26,,,,,,50,1,75,247,100,1,,,,
Cat070118,27,,,,,,50,1,75,247,815,1,,,,
Mouse071126,1,,,,,360,40,3,[30 10 0.01],407,100,1,,,,
Mouse071126,2,,,,,360,40,3,[20 5 0.01],407,100,1,,,,
Mouse071126,3,,,,,360,40,3,[20 8 0.01],407,100,1,,,,
Mouse071126,4,,,,,360,40,3,[20 8 0.01],407,100,1,,,,
Mouse071126,5,,,,,360,40,3,[20 8 0.01],407,100,1,,,,
Mouse071126,6,,,,,360,40,3,[20 8 0.01],407,100,1,,,,
Mouse071126,7,,,,,360,40,3,[20 8 0.01],407,100,1,,,,
Mouse071126,8,,,,,360,40,3,[20 8 0.01],407,100,1,,,,
Mouse071126,9,,,,,360,40,3,[20 8 0.01],407,100,1,,,,
Mouse071126,10,,,,,360,40,3,[20 8 0.01],407,100,1,,,,
Mouse071126,11,,,,,360,40,3,[20 8 0.01],407,100,1,,,,
Mouse071126,12,,,,,360,40,3,[20 8 0.01],407,100,1,,,,
Mouse071126,13,,,,,360,40,3,[20 8 0.01],407,100,1,,,,
Mouse071126,14,,,,,360,40,3,[20 8 0.01],407,100,1,,,,
Mouse071126,15,,,,,360,40,3,[20 8 0.01],407,100,1,,,,
Mouse071126,16,,,,1,360,40,3,[20 8 0.01],407,100,1,,,,
Mouse071126,17,,,,,360,40,3,[20 8 0.01],407,100,1,,,,
Mouse071126,18,,,,,360,40,3,[20 8 0.01],407,100,1,,,,
Mouse071126,19,,,,,360,24,12,[2 4 6 8 12 16 2 4 6 8 12 16],407,100,1,,,,
